timestamp_utc,ticker,entry_date,exit_date,entry_price,exit_price,direction,structure,confidence_score,technical_total,sentiment_total,news_total,holding_days,pnl_dollars,pnl_pct,outcome,signal_key
2026-08-17T00:31:54.772233+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:31:54.776635+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:31:54.941298+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:31:54.942808+00:00,AMD,2026-08-17,2026-08-17,100.0,120.0,bullish,,90.0,,,,0,588.0,20.0,win,
2026-08-17T00:31:54.949920+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:32:26.330838+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:32:26.334912+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:32:26.340880+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:32:26.342483+00:00,AMD,2026-08-17,2026-08-17,100.0,120.0,bullish,,90.0,,,,0,588.0,20.0,win,
2026-08-17T00:32:26.349239+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:33:29.218098+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:33:29.222245+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:33:29.228319+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:33:29.229863+00:00,AMD,2026-08-17,2026-08-17,100.0,120.0,bullish,,90.0,,,,0,588.0,20.0,win,
2026-08-17T00:33:29.238220+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:57:07.959477+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:57:07.963356+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:57:07.969855+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:57:07.971579+00:00,AMD,2026-08-17,2026-08-17,100.0,120.0,bullish,,90.0,,,,0,588.0,20.0,win,
2026-08-17T00:57:07.979729+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
2026-08-17T00:58:48.889992+00:00,NVDA,2026-08-15,2026-08-17,100.0,90.0,bullish,,90.0,,,,2,-300.0,-10.0,loss,
